"ano_mes","sigla_instituicao_lotacao","desc_instituicao_lotacao","quantidade_servidores"
"202509",NULL,NULL,"1337"
"202509","SEDE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO","110"
"202509","IEF","INSTITUTO ESTADUAL DE FLORESTAS","895"
"202509","FCS","FUNDACAO CLOVIS SALGADO","295"
"202509","ERGEMG/BRASILIA","ESCRITORIO DE REPRESENTACAO DO GOVERNO DE MINAS GERAIS EM BRASILIA","8"
"202509","SECCRI","SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS","10"
"202509","SEDA","SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO","20"
"202509","DP","DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS","2"
"202509","FHEMIG","FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS","13882"
"202509","LOTERIA","LOTERIA DO ESTADO DE MINAS GERAIS","58"
"202509","DETEL","DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DO ESTADO DE MINAS GERAIS","27"
"202509","FUNED","FUNDACAO EZEQUIEL DIAS","791"
"202509","SG","SECRETARIA GERAL","3"
"202509","TV MINAS","FUNDACAO TV MINAS CULTURAL E EDUCATIVA","22"
"202509","HEMOMINAS","FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO ESTADO DE MINAS GERAIS","835"
"202509","FEAM","FUNDACAO ESTADUAL DO MEIO AMBIENTE","227"
"202509","SES","SECRETARIA DE ESTADO DE SAUDE","10573"
"202509","SEJUSP","SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA","18221"
"202509","SEPLAG","SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO","2271"
"202509","SEE","SECRETARIA DE ESTADO DE EDUCACAO","252520"
"202509","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS","260"
"202509","IGTEC","INSTITUTO DE GEOINFORMACAO E TECNOLOGIA","72"
"202509","UNIMONTES","UNIVERSIDADE ESTADUAL DE MONTES CLAROS","2226"
"202509","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS","6062"
"202509","ESP-MG","ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS","71"
"202509","FJP","FUNDACAO JOAO PINHEIRO","394"
"202509","FHA","FUNDACAO HELENA ANTIPOFF","174"
"202509","SEINFRA","SECRETARIA DE ESTADO DE INFRAESTRUTURA MOBILIDADE E PARCERIAS","155"
"202509","UEMG","UNIVERSIDADE DO ESTADO DE MINAS GERAIS","1346"
"202509","FAOP","FUNDACAO DE ARTE DE OURO PRETO","31"
"202509","SEGOV","SECRETARIA DE ESTADO DE GOVERNO","505"
"202509","SECULT","SECRETARIA DE ESTADO DE CULTURA E TURISMO","492"
"202509","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","155987"
"202509","AGE","ADVOCACIA GERAL DO ESTADO","779"
"202509","ARSAE MG","AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO","31"
"202509","IPSM","INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MG","194"
"202509","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1411"
"202509","GABINETE MILITAR","GABINETE MILITAR DO GOVERNADOR DO ESTADO","36"
"202509","CGE","CONTROLADORIA GERAL DO ESTADO","145"
"202509","IGAM","INSTITUTO MINEIRO DE GESTAO DAS AGUAS","158"
"202509","OGE","OUVIDORIA GERAL DO ESTADO","37"
"202509","SEF","SECRETARIA DE ESTADO DA FAZENDA","6698"
"202509","IEPHA","INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS","103"
"202509","FUCAM","FUNDACAO EDUCACIONAL CAIO MARTINS","87"
"202509","IMA","INSTITUTO MINEIRO DE AGROPECUARIA","1748"
"202509","IO/MG","IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS","137"
"202509","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","247"
"202509","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","29"
"202509","SEAPA","SECRETARIA DE ESTADO DA AGRICULTURA PECUARIA E ABASTECIMENTO","378"
"202509","IDENE","INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS","75"
"202509","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","3"
"202509","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS","61"
"202509","IPSEMG","INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS","5200"
"202509","UTRAMIG","FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS","38"
"202509","SEMAD","SECRETARIA DE ESTADO DO MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL","554"
"202509","POL/CIVIL","POLICIA CIVIL DO ESTADO DE MINAS GERAIS","17593"
